Nirvana
Radiohead
Oasis
Blur
R.E.M.
Beck
Massive Attack
Björk
Pavement
Pulp
PJ Harvey
Smashing Pumpkins
Primal Scream
Pearl Jam
The Chemical Brothers
Beastie Boys
U2
Portishead
Nick Cave & The Bad Seeds
Dr. Dre
A Tribe Called Quest
Aphex Twin
Jeff Buckley
The Prodigy
My Bloody Valentine
Suede
Weezer
Elliott Smith
The Verve
Manic Street Preachers
Red Hot Chili Peppers
The Notorious B.I.G.
Belle and Sebastian
Rage Against the Machine
Public Enemy
Madonna
Daft Punk
Wu-Tang Clan
Nine Inch Nails
Underworld
Soundgarden
DJ Shadow
Sonic Youth
Hole
The Flaming Lips
Tricky
Green Day
Air
Foo Fighters
Bob Dylan
Wilco
TLC
Pet Shop Boys
Lauryn Hill
Fatboy Slim
Snoop Dogg
Moby
Supergrass
Depeche Mode
Fugees
2Pac
Metallica
The Breeders
Nas
Happy Mondays
"Bonnie ""Prince"" Billy"
Sinéad O'Connor
Spiritualized
Neil Young
Liz Phair
Stereolab
Neutral Milk Hotel
Yo La Tengo
Eminem
Tori Amos
Guided by Voices
Teenage Fanclub
Mercury Rev
Jay-Z
Pixies
OutKast
Garbage
The Orb
Elastica
Sleater-Kinney
Sigur Rós
Cypress Hill
Tortoise
Built to Spill
Orbital
Fugazi
Alanis Morissette
Ice Cube
Super Furry Animals
Leftfield
Tom Waits
Basement Jaxx
Erykah Badu
Jane's Addiction
Morrissey
Guns N' Roses
Slint
The KLF
Tindersticks
Missy Elliott
Lucinda Williams
The Lemonheads
The Magnetic Fields
Mary J. Blige
Goldie
Arrested Development
The Afghan Whigs
Deee-Lite
Cornershop
Manu Chao
Eels
Saint Etienne
The Jon Spencer Blues Explosion
Alice in Chains
Boards of Canada
The Beta Band
dEUS
De La Soul
The Offspring
Gang Starr
Janet Jackson
The Roots
The Black Crowes
D'Angelo
Kyuss
Fiona Apple
Mazzy Star
Prince
Blumfeld
Bruce Springsteen
Mogwai
Placebo
Johnny Cash
